org,model,pair,language,direction_label,cosine_similarity,path_correct,path_incorrect
bigscience,bloom-1b1,1sg-3sg,english,1sgto3sg,0.6558965162476249,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_1sgto3sg_english.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_1sgto3sg_english.pt
bigscience,bloom-1b1,1sg-3sg,english,3sgto1sg,0.7325987067214781,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_3sgto1sg_english.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/english/attn_head_out_all_pos_patch_results_3sgto1sg_english.pt
bigscience,bloom-1b1,1sg-3sg,french,1sgto3sg,0.6327145438635304,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_1sgto3sg_french.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_1sgto3sg_french.pt
bigscience,bloom-1b1,1sg-3sg,french,3sgto1sg,0.5474507331212648,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_3sgto1sg_french.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/french/attn_head_out_all_pos_patch_results_3sgto1sg_french.pt
bigscience,bloom-1b1,1sg-3sg,italian,1sgto3sg,0.4220957115227191,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_1sgto3sg_italian.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_1sgto3sg_italian.pt
bigscience,bloom-1b1,1sg-3sg,italian,3sgto1sg,-0.341997762295323,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_3sgto1sg_italian.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/italian/attn_head_out_all_pos_patch_results_3sgto1sg_italian.pt
bigscience,bloom-1b1,1sg-3sg,portuguese,1sgto3sg,0.46302856318970353,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_1sgto3sg_portuguese.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_1sgto3sg_portuguese.pt
bigscience,bloom-1b1,1sg-3sg,portuguese,3sgto1sg,0.657685228621679,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_3sgto1sg_portuguese.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/portuguese/attn_head_out_all_pos_patch_results_3sgto1sg_portuguese.pt
bigscience,bloom-1b1,1sg-3sg,spanish,1sgto3sg,0.735724725424756,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_1sgto3sg_spanish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_1sgto3sg_spanish.pt
bigscience,bloom-1b1,1sg-3sg,spanish,3sgto1sg,0.7989672395517065,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_3sgto1sg_spanish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/spanish/attn_head_out_all_pos_patch_results_3sgto1sg_spanish.pt
